Country,Year,Power,Industry,R&C,Transport,Others,Total Domestic Demand,Pipeline Exports,LNG Supply,Marketed Production,Pipeline Imports,LNG Demand,LNG Demand Converted,Region
Brazil,2015,1708.5199999999998,1539.4329999999998,62.12799999999999,170.146,89.66199999999999,3569.8889999999997,0.0,0.0,1755.2043432876708,1130.6589999999999,684.0256567123287,5.126681,LATAM
Brazil,2016,1128.1879999999999,1440.946,68.482,175.088,104.13499999999999,2916.839,0.0,32.98160928961749,1710.1021913109578,1000.0489999999999,239.6694179786598,1.8012116423036855,LATAM
Brazil,2017,1302.57,1439.181,69.18799999999999,190.62,112.25399999999998,3113.813,0.0,14.177704109589044,2043.4789797260275,858.8489999999998,225.66272438356168,1.6913120000000004,LATAM
Brazil,2018,1077.709,1403.175,74.13,213.91799999999998,114.37199999999999,2883.304,0.0,6.788646575342466,1835.9794610539727,780.483,273.63018552136987,2.050821719,LATAM
Brazil,2019,1118.3039999999999,1305.041,76.954,220.97799999999998,122.844,2844.121,0.0,0.0,1937.5952230136986,588.451,318.0747769863014,2.383928,LATAM
Brazil,2020,997.2249999999999,1272.5649999999998,72.365,181.795,97.07499999999999,2621.0249999999996,0.0,0.0,1662.4957412568306,631.1639999999999,327.3652587431694,2.460281,LATAM
Brazil,2021,1595.2069999999999,1418.7069999999999,77.66,209.682,84.014,3385.2699999999995,0.0,0.0,1685.1875791780813,707.059,993.023420821918,7.442578,LATAM
Brazil,2022,621.986,1462.8319999999999,81.89599999999999,218.85999999999999,94.25099999999999,2479.8250000000003,0.0,0.0,1607.080373972603,618.103,254.64162602739725,1.9085049999999997,LATAM
Brazil,2023,521.381,1395.056,82.249,189.208,91.074,2278.968,0.0,0.0,1614.6924739726026,544.679,119.59652602739729,0.8963600000000002,LATAM
Brazil,2024,696.1159999999999,1374.5819999999999,83.30799999999999,161.321,69.18799999999999,2384.515,0.0,0.0,1569.1529781420763,493.14099999999996,322.2210218579235,2.42162,LATAM
Brazil,2025,721.1761759999999,1388.32782,84.474312,169.38705000000002,69.87987999999999,2433.2452379999995,0.0,0.0,1666.7055119726024,465.0,301.53972602739725,2.26,LATAM
Brazil,2026,740.6479327519999,1398.879111432,85.488003744,176.50130610000002,70.57867879999999,2472.0950328279996,0.0,0.0,1564.577229298778,451.2054747620982,456.3123287671233,3.42,LATAM
Brazil,2027,760.6454269363038,1409.5105926788833,86.513859788928,183.91436095620003,71.28446558799999,2511.8687059483154,0.0,0.0,1569.7033274467335,437.82017302213,504.34520547945203,3.78,LATAM
Brazil,2028,781.1828534635839,1420.2228731832429,87.55202610639513,191.63876411636045,71.99731024388,2552.5938271134623,0.0,0.0,1591.3947489249863,424.83195490080465,536.3671232876712,4.02,LATAM
Brazil,2029,802.2747905071006,1431.0165670194356,88.60265041967187,199.68759220924758,72.7172833463188,2594.2988835017745,0.0,0.0,1616.3492949003803,412.22904065618894,565.7205479452056,4.24,LATAM
Brazil,2030,823.9362098507922,1441.8922929287833,89.66588222470794,208.07447108203598,73.44445617978198,2637.013312266101,0.0,0.0,1648.6105725400735,400.0,588.4027397260274,4.41,LATAM
